PassengerId,Prediction,Target
1,0,0
2,1,1
3,1,1
4,1,1
5,0,0
6,0,0
7,0,0
8,0,0
9,0,1
10,1,1
11,1,1
13,0,0
14,0,0
15,1,0
16,0,1
17,0,0
18,0,1
19,0,0
20,1,1
21,0,0
22,0,1
23,1,1
24,0,1
25,0,0
26,0,1
37,0,1
38,0,0
39,0,0
40,1,1
41,0,0
42,1,0
43,0,0
44,1,1
45,1,1
59,1,1
60,0,0
61,0,0
62,1,1
63,1,0
64,0,0
65,0,0
66,0,1
83,1,1
84,1,0
85,1,1
86,0,1
87,0,0
88,0,0
89,1,1
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,1,1
99,1,1
100,0,0
101,0,0
102,0,0
103,1,0
104,0,0
105,0,0
106,0,0
107,1,1
108,0,1
109,0,0
110,1,1
111,0,0
112,1,0
113,0,0
114,0,0
115,1,0
116,0,0
117,0,0
118,0,0
119,1,0
120,1,0
121,1,0
122,0,0
123,0,0
124,0,1
125,0,0
126,0,1
127,0,0
128,0,1
129,1,1
130,0,0
131,0,0
132,0,0
133,0,0
134,1,1
135,0,0
136,0,0
164,0,0
165,0,0
166,0,1
167,1,1
168,0,0
169,0,0
170,1,0
171,0,0
172,0,0
173,1,1
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,1,1
185,1,1
186,1,0
187,0,1
188,0,1
189,0,0
190,0,0
191,0,1
192,0,0
193,0,1
194,0,1
195,1,1
196,1,1
197,0,0
198,0,0
199,1,1
200,1,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,1
206,1,0
207,0,0
208,0,1
209,1,1
210,0,1
230,0,0
231,1,1
232,0,0
233,0,0
234,0,1
235,0,0
236,0,0
237,0,0
238,1,1
239,0,0
240,0,0
241,0,0
242,0,1
243,0,0
244,0,0
245,0,0
246,1,0
247,1,0
248,1,1
249,0,1
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,1,1
257,1,1
258,1,1
259,1,1
260,0,1
261,0,0
262,0,1
263,0,0
264,0,0
278,0,0
279,0,0
280,0,1
281,0,0
282,0,0
283,0,0
284,0,1
285,0,0
286,0,0
287,0,1
288,0,0
289,0,1
290,1,1
291,1,1
292,1,1
293,0,0
294,1,0
295,0,0
296,0,0
297,0,0
298,1,0
299,0,1
300,1,1
301,1,1
302,0,1
303,0,0
304,1,1
305,0,0
306,1,1
307,1,1
318,0,0
319,1,1
320,1,1
321,0,0
322,0,0
323,1,1
324,1,1
325,0,0
326,1,1
327,0,0
328,0,1
329,0,1
330,1,1
331,0,1
332,0,0
333,1,0
334,0,0
335,1,1
336,0,0
337,1,0
338,1,1
339,0,1
340,0,0
341,1,1
342,1,1
343,0,0
344,0,0
345,0,0
346,1,1
347,0,1
348,0,1
349,0,1
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
365,0,0
366,0,0
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,0,0
373,0,0
374,1,0
375,1,0
376,1,1
377,1,1
378,1,0
379,0,0
380,0,0
381,1,1
382,1,1
383,0,0
384,1,1
385,0,0
386,1,0
387,0,0
388,0,1
389,0,0
390,1,1
412,0,0
413,1,1
414,0,0
415,0,1
416,0,0
427,1,1
428,1,1
429,0,0
430,0,1
431,0,1
432,0,1
433,0,1
434,0,0
435,0,0
436,1,1
437,1,0
438,0,1
439,1,0
440,0,0
441,0,1
442,0,0
443,0,0
444,1,1
445,0,1
446,1,1
447,1,1
448,0,1
449,1,1
450,0,1
451,0,0
452,0,0
453,0,0
454,1,1
455,0,0
456,0,1
457,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,1,1
471,0,0
472,0,0
473,0,1
474,1,1
475,1,0
476,1,0
477,0,0
478,0,0
479,0,0
480,1,1
481,0,0
482,0,0
483,0,0
484,0,1
485,1,1
496,0,0
497,1,1
498,0,0
499,1,0
500,0,0
501,0,0
502,1,0
503,1,0
504,0,0
505,1,1
506,1,0
507,1,1
508,0,1
509,0,0
510,1,1
511,0,1
522,0,0
523,0,0
524,1,1
525,0,0
526,0,0
527,0,1
528,1,0
529,0,0
530,0,0
531,1,1
532,0,0
533,0,0
534,1,1
535,0,0
536,1,1
537,0,0
538,1,1
539,0,0
540,1,1
541,1,1
542,0,0
543,0,0
544,0,1
545,1,0
546,0,0
547,1,1
548,0,1
549,0,0
550,1,1
551,1,1
552,0,0
553,0,0
554,0,1
555,1,1
556,0,0
557,0,1
558,1,0
559,1,1
560,0,1
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,1
571,0,1
572,0,1
573,0,1
574,1,1
575,0,0
576,0,0
577,0,1
578,1,1
579,0,0
580,0,1
581,1,1
582,1,1
583,0,0
584,0,0
591,0,0
592,1,1
593,0,0
594,0,0
595,0,0
596,0,0
597,1,1
598,0,0
599,0,0
600,0,1
601,0,1
602,0,0
603,0,0
604,0,0
605,0,1
606,0,0
607,0,0
608,0,1
609,1,1
610,1,1
611,0,0
612,0,0
613,0,1
614,0,0
615,0,0
616,1,1
617,0,0
618,0,0
629,0,0
630,0,0
631,0,1
632,0,0
633,0,1
634,0,0
649,0,0
650,1,1
651,0,0
652,1,1
653,0,0
654,1,1
655,1,0
656,1,0
657,0,0
658,0,0
659,0,0
660,1,0
661,1,1
669,0,0
670,1,1
671,0,1
672,0,0
673,0,0
674,0,1
675,0,0
676,0,0
677,0,0
678,1,1
679,0,0
680,1,1
681,1,0
682,1,1
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,1,1
691,0,1
692,1,1
693,1,1
694,0,0
695,0,0
696,0,0
697,0,0
698,1,1
699,1,0
700,0,0
701,1,1
702,0,1
703,1,0
704,0,0
716,0,0
717,1,1
718,1,1
719,0,0
720,0,0
731,1,1
732,1,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,1,1
739,0,0
740,0,0
741,0,1
742,1,0
743,1,1
744,0,0
745,0,1
746,0,0
747,0,0
748,1,1
749,1,0
750,0,0
751,1,1
752,0,1
753,0,0
754,0,0
755,1,1
756,0,1
757,0,0
758,0,0
759,0,0
772,0,0
773,0,0
774,0,0
775,0,1
776,0,0
777,0,0
778,1,1
779,0,0
780,1,1
781,1,1
782,1,1
783,0,0
784,0,0
785,0,0
786,0,0
787,1,1
788,0,0
789,0,1
790,1,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,1
798,0,1
799,0,0
800,0,0
808,1,0
809,0,0
810,1,1
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,1,0
818,0,0
819,0,0
820,0,0
821,1,1
822,0,1
823,0,0
824,1,1
825,0,0
826,0,0
827,1,0
828,1,1
829,0,1
830,1,1
831,1,1
838,0,0
839,1,1
840,0,1
841,0,0
842,0,0
843,1,1
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,1,1
851,0,0
852,0,0
853,1,0
854,1,1
855,0,0
856,1,1
857,1,1
858,0,1
859,1,1
860,0,0
861,0,0
862,0,0
863,0,1
864,0,0
865,0,0
866,0,1
867,1,1
868,1,0
869,0,0
870,0,1
871,0,0
872,1,1
873,0,0
874,0,0
875,1,1
876,1,1
877,0,0
886,0,0
887,0,0
888,1,1
889,0,0
890,0,1
891,0,0
