PassengerId,Prediction,Target
1,1,0
2,1,1
3,1,1
4,1,1
5,1,0
6,1,0
7,1,0
8,1,0
9,1,1
10,1,1
11,1,1
13,1,0
14,1,0
15,1,0
16,1,1
17,1,0
18,1,1
19,1,0
20,1,1
21,1,0
22,1,1
23,1,1
24,1,1
25,1,0
26,1,1
37,1,1
38,1,0
39,1,0
40,1,1
41,1,0
42,1,0
43,1,0
44,1,1
45,1,1
59,1,1
60,1,0
61,1,0
62,1,1
63,1,0
64,1,0
65,1,0
66,1,1
83,1,1
84,1,0
85,1,1
86,1,1
87,1,0
88,1,0
89,1,1
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,1
99,1,1
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,1
108,1,1
109,1,0
110,1,1
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,1
125,1,0
126,1,1
127,1,0
128,1,1
129,1,1
130,1,0
131,1,0
132,1,0
133,1,0
134,1,1
135,1,0
136,1,0
164,1,0
165,1,0
166,1,1
167,1,1
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,1
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,1
185,1,1
186,1,0
187,1,1
188,1,1
189,1,0
190,1,0
191,1,1
192,1,0
193,1,1
194,1,1
195,1,1
196,1,1
197,1,0
198,1,0
199,1,1
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,1
206,1,0
207,1,0
208,1,1
209,1,1
210,1,1
230,1,0
231,1,1
232,1,0
233,1,0
234,1,1
235,1,0
236,1,0
237,1,0
238,1,1
239,1,0
240,1,0
241,1,0
242,1,1
243,1,0
244,1,0
245,1,0
246,1,0
247,1,0
248,1,1
249,1,1
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,0
